date,session_key,meeting_key,position,driver_number
2025-09-21T12:10:30.745000+00:00,9904,1269,13,23
2025-09-21T12:10:50.879000+00:00,9904,1269,18,43
2025-09-21T12:10:50.879000+00:00,9904,1269,19,10
2025-09-21T12:11:30.782000+00:00,9904,1269,5,55
2025-09-21T12:11:30.782000+00:00,9904,1269,6,44
2025-09-21T12:11:37.143000+00:00,9904,1269,6,12
2025-09-21T12:11:37.143000+00:00,9904,1269,7,44
2025-09-21T12:11:43.611000+00:00,9904,1269,7,30
2025-09-21T12:11:43.611000+00:00,9904,1269,8,44
2025-09-21T12:11:44.477000+00:00,9904,1269,8,16
2025-09-21T12:11:44.477000+00:00,9904,1269,9,44
2025-09-21T12:12:09.516000+00:00,9904,1269,15,27
2025-09-21T12:12:09.516000+00:00,9904,1269,14,31
2025-09-21T12:12:09.708000+00:00,9904,1269,11,5
2025-09-21T12:12:09.708000+00:00,9904,1269,12,18
2025-09-21T12:12:14.546000+00:00,9904,1269,17,14
2025-09-21T12:12:14.546000+00:00,9904,1269,16,87
2025-09-21T12:12:18.711000+00:00,9904,1269,15,87
2025-09-21T12:12:18.711000+00:00,9904,1269,16,27
2025-09-21T12:12:19.052000+00:00,9904,1269,16,14
2025-09-21T12:12:19.052000+00:00,9904,1269,17,27
2025-09-21T12:13:19.642000+00:00,9904,1269,4,55
2025-09-21T12:13:19.642000+00:00,9904,1269,5,4
2025-09-21T12:13:21.697000+00:00,9904,1269,5,12
2025-09-21T12:13:21.697000+00:00,9904,1269,6,4
2025-09-21T12:13:28.587000+00:00,9904,1269,6,30
2025-09-21T12:13:28.587000+00:00,9904,1269,7,4
2025-09-21T12:13:29.157000+00:00,9904,1269,8,4
2025-09-21T12:13:29.157000+00:00,9904,1269,7,16
2025-09-21T12:13:52.762000+00:00,9904,1269,13,18
2025-09-21T12:13:52.762000+00:00,9904,1269,12,23
2025-09-21T12:13:55.780000+00:00,9904,1269,14,18
2025-09-21T12:13:55.780000+00:00,9904,1269,13,31
2025-09-21T12:14:03.617000+00:00,9904,1269,15,18
2025-09-21T12:14:03.617000+00:00,9904,1269,14,87
2025-09-21T12:14:05.333000+00:00,9904,1269,15,14
2025-09-21T12:14:05.333000+00:00,9904,1269,16,18
2025-09-21T12:14:33.705000+00:00,9904,1269,17,18
2025-09-21T12:14:33.705000+00:00,9904,1269,16,27
2025-09-21T12:15:04.522000+00:00,9904,1269,3,55
2025-09-21T12:15:04.522000+00:00,9904,1269,4,22
2025-09-21T12:15:06.574000+00:00,9904,1269,4,12
2025-09-21T12:15:06.574000+00:00,9904,1269,5,22
2025-09-21T12:15:28.766000+00:00,9904,1269,5,30
2025-09-21T12:15:28.766000+00:00,9904,1269,6,22
2025-09-21T12:18:42.014000+00:00,9904,1269,7,4
2025-09-21T12:18:42.014000+00:00,9904,1269,8,16
2025-09-21T12:19:18.733000+00:00,9904,1269,13,87
2025-09-21T12:19:18.733000+00:00,9904,1269,14,31
2025-09-21T12:22:18.312000+00:00,9904,1269,9,16
2025-09-21T12:22:18.312000+00:00,9904,1269,8,44
2025-09-21T12:31:33.840000+00:00,9904,1269,12,5
2025-09-21T12:31:33.840000+00:00,9904,1269,11,23
2025-09-21T12:33:52.869000+00:00,9904,1269,19,43
2025-09-21T12:33:52.869000+00:00,9904,1269,18,10
2025-09-21T12:38:27.841000+00:00,9904,1269,11,5
2025-09-21T12:38:27.841000+00:00,9904,1269,12,23
2025-09-21T12:38:28.534000+00:00,9904,1269,12,87
2025-09-21T12:38:28.534000+00:00,9904,1269,13,23
